id,param,val1
185,RegionBorn,Санкт-Петербург и Ленинградская область
185,RegionLife,Санкт-Петербург и Ленинградская область
185,education,студент
186,age,36
186,gender,ж
186,RegionBorn,Санкт-Петербург и Ленинградская область
186,RegionLife,Санкт-Петербург и Ленинградская область
186,education,высшее
187,age,19
187,gender,ж
187,RegionBorn,Восточнее Урала
187,RegionLife,Восточнее Урала
187,education,студент
188,age,20
188,gender,ж
188,RegionBorn,Восточнее Урала
188,RegionLife,Восточнее Урала
188,education,студент
189,age,24
189,gender,ж
189,RegionBorn,Восточнее Урала
189,RegionLife,Восточнее Урала
189,education,среднее специальное
190,age,17
190,gender,ж
190,RegionBorn,Восточнее Урала
190,RegionLife,Восточнее Урала
190,education,среднее
191,age,18
191,gender,ж
191,RegionBorn,Москва и Московская область
191,RegionLife,Москва и Московская область
191,education,студент
192,age,18
192,gender,ж
192,RegionBorn,Западнее Урала
192,RegionLife,Западнее Урала
192,education,студент
193,age,20
193,gender,м
193,RegionBorn,Восточнее Урала
193,RegionLife,Восточнее Урала
193,education,студент
194,age,20
194,gender,м
194,RegionBorn,Восточнее Урала
194,RegionLife,Восточнее Урала
194,education,студент
195,age,19
195,gender,ж
195,RegionBorn,Западнее Урала
195,RegionLife,Западнее Урала
195,education,студент
196,age,17
196,gender,ж
196,RegionBorn,Москва и Московская область
196,RegionLife,Санкт-Петербург и Ленинградская область
196,education,студент
197,age,18
197,gender,ж
197,RegionBorn,Восточнее Урала
197,RegionLife,Восточнее Урала
197,education,студент
198,age,17
198,gender,ж
198,RegionBorn,Западнее Урала
198,RegionLife,Западнее Урала
198,education,среднее
199,age,19
199,gender,ж
199,RegionBorn,Москва и Московская область
199,RegionLife,Москва и Московская область
199,education,студент
200,age,18
200,gender,ж
200,RegionBorn,Западнее Урала
200,RegionLife,Западнее Урала
200,education,студент
201,age,19
201,gender,ж
201,RegionBorn,Западнее Урала
201,RegionLife,Западнее Урала
201,education,студент
202,age,17
202,gender,ж
202,RegionBorn,Москва и Московская область
202,RegionLife,Москва и Московская область
202,education,студент
203,age,17
203,gender,ж
203,RegionBorn,Западнее Урала
203,RegionLife,Западнее Урала
203,education,студент
204,age,16
204,gender,ж
204,RegionBorn,Западнее Урала
204,RegionLife,Москва и Московская область
204,education,среднее
205,age,16
205,gender,м
205,RegionBorn,Западнее Урала
205,RegionLife,Западнее Урала
205,education,среднее
206,age,30
206,gender,ж
206,RegionBorn,Восточнее Урала
206,RegionLife,Восточнее Урала
206,education,высшее
207,age,18
207,gender,ж
207,RegionBorn,Западнее Урала
207,RegionLife,Западнее Урала
207,education,студент
208,age,17
208,gender,ж
208,RegionBorn,Санкт-Петербург и Ленинградская область
208,RegionLife,Санкт-Петербург и Ленинградская область
208,education,среднее
209,age,19
209,gender,ж
209,RegionBorn,Москва и Московская область
209,RegionLife,Москва и Московская область
209,education,студент
210,age,19
210,gender,м
210,RegionBorn,Москва и Московская область
210,RegionLife,Москва и Московская область
210,education,студент
211,age,19
211,gender,ж
211,RegionBorn,Западнее Урала
211,RegionLife,Западнее Урала
211,education,студент
212,age,19
212,gender,ж
212,RegionBorn,Западнее Урала
212,RegionLife,Западнее Урала
212,education,студент
213,age,17
213,gender,ж
213,RegionBorn,Восточнее Урала
213,RegionLife,Санкт-Петербург и Ленинградская область
213,education,среднее
214,age,19
214,gender,ж
214,RegionBorn,Западнее Урала
214,RegionLife,Западнее Урала
214,education,студент
215,age,19
215,gender,ж
